Date,States,Commodity,Price,,,
19-Apr-16,Delhi,Apple,7200,,,
18-Apr-16,Delhi,Apple,7350,,,
16-Apr-16,Delhi,Apple,7490,,,
15-Apr-16,Delhi,Apple,7490,,,
14-Apr-16,Delhi,Apple,7490,,,
13-Apr-16,Delhi,Apple,7490,,,
12-Apr-16,Delhi,Apple,7490,,,
9-Apr-16,Delhi,Apple,7490,,,
8-Apr-16,Delhi,Apple,7490,,,
7-Apr-16,Delhi,Apple,7270,,,
6-Apr-16,Delhi,Apple,7270,,,
5-Apr-16,Delhi,Apple,7375,,,
21-Jul-15,Delhi,Apple,6333,,,
2-Jul-15,Delhi,Apple,7450,,,
1-Jul-15,Delhi,Apple,7360,,,
27-Apr-15,Delhi,Apple,7450,,,
25-Apr-15,Delhi,Apple,7750,,,
24-Apr-15,Delhi,Apple,7750,,,
23-Apr-15,Delhi,Apple,7650,,,
22-Apr-15,Delhi,Apple,6509,,,
21-Apr-15,Delhi,Apple,6480,,,
20-Apr-15,Delhi,Apple,6393,,,
18-Apr-15,Delhi,Apple,6357,,,
17-Apr-15,Delhi,Apple,6223,,,
16-Apr-15,Delhi,Apple,5072,,,
15-Apr-15,Delhi,Apple,6800,,,
14-Apr-15,Delhi,Apple,6850,,,
13-Apr-15,Delhi,Apple,6750,,,
11-Apr-15,Delhi,Apple,6800,,,
10-Apr-15,Delhi,Apple,6750,,,
9-Apr-15,Delhi,Apple,6353,,,
8-Apr-15,Delhi,Apple,6353,,,
7-Apr-15,Delhi,Apple,6308,,,
6-Apr-15,Delhi,Apple,6558,,,
4-Apr-15,Delhi,Apple,6558,,,
3-Apr-15,Delhi,Apple,6558,,,
2-Apr-15,Delhi,Apple,7450,,,
1-Apr-15,Delhi,Apple,7450,,,
3-Mar-15,Delhi,Apple,6036,,,
28-Feb-15,Delhi,Apple,6714,,,
27-Feb-15,Delhi,Apple,6545,,,
26-Feb-15,Delhi,Apple,6714,,,
25-Feb-15,Delhi,Apple,6762,,,
23-Feb-15,Delhi,Apple,6581,,,
21-Feb-15,Delhi,Apple,6451,,,
20-Feb-15,Delhi,Apple,6687,,,
13-Feb-15,Delhi,Apple,7000,,,
10-Feb-15,Delhi,Apple,7000,,,
9-Feb-15,Delhi,Apple,5931,,,
6-Feb-15,Delhi,Apple,9850,,,
3-Feb-15,Delhi,Apple,7500,,,
2-Feb-15,Delhi,Apple,8360,,,
31-Jan-15,Delhi,Apple,7250,,,
30-Jan-15,Delhi,Apple,7250,,,
28-Jan-15,Delhi,Apple,7950,,,
27-Jan-15,Delhi,Apple,7580,,,
24-Jan-15,Delhi,Apple,7083,,,
22-Jan-15,Delhi,Apple,7333,,,
19-Jan-15,Delhi,Apple,7417,,,
17-Jan-15,Delhi,Apple,7250,,,
16-Jan-15,Delhi,Apple,7583,,,
15-Jan-15,Delhi,Apple,8000,,,
14-Jan-15,Delhi,Apple,7500,,,
13-Jan-15,Delhi,Apple,7500,,,
9-Jan-15,Delhi,Apple,6768,,,
8-Jan-15,Delhi,Apple,5640,,,
6-Jan-15,Delhi,Apple,8150,,,
5-Jan-15,Delhi,Apple,7750,,,
